PID,Lot_Area,House_Style,Overall_Qual,Overall_Cond,Year_Built,Heating_QC,Central_Air,Gr_Liv_Area,Bedroom_AbvGr,Fireplaces,Garage_Area,Mo_Sold,Yr_Sold,SalePrice,Basement_Area,Full_Bathroom,Half_Bathroom,Total_Bathroom,Deck_Porch_Area,Age_Sold,Season_Sold,Garage_Type_2,Foundation_2,Masonry_Veneer,Lot_Shape_2,House_Style2,Overall_Qual2,Overall_Cond2,Log_Price,Bonus,score
0535302080,10950,1Story,5,7,1952,TA,Y,1064,2,0,318,5,2010,135000,864,1,1,1.1,0,58,2,Detached,Cinder Block,N,Regular,1Story,5,6,11.813030057,0,
0535453070,7500,1Story,5,7,1959,Ex,Y,1246,3,0,305,5,2010,154000,1246,2,1,2.1,218,51,2,Attached,Cinder Block,N,Regular,1Story,5,6,11.944707881,0,
0535456110,7200,1Story,5,7,1951,TA,Y,900,3,0,576,5,2010,134800,900,1,1,1.1,254,59,2,Detached,Cinder Block,N,Regular,1Story,5,6,11.811547477,0,
0535476350,9760,1Story,6,7,1963,TA,Y,1395,2,1,440,5,2010,192000,1395,2,0,2,897,47,2,Attached,Cinder Block,Y,Regular,1Story,6,6,12.165250651,1,
0902125160,4608,1Story,4,6,1945,TA,Y,747,2,0,220,6,2010,80000,747,1,0,1,0,65,3,Attached,Cinder Block,N,Regular,1Story,4,6,11.289781914,0,
0902206130,6900,1.5Fin,6,7,1938,Gd,Y,1251,3,0,240,1,2010,119000,827,1,0,1,0,72,1,Detached,Concrete/Slab,N,Regular,1.5Fin,6,6,11.686878772,0,
0903232190,6240,1.5Fin,5,7,1936,Gd,Y,1040,2,0,624,5,2010,123900,528,1,0,1,306,74,2,Detached,Cinder Block,N,Regular,1.5Fin,5,6,11.727230068,0,
0904302260,9900,1.5Fin,5,4,1915,TA,N,1392,3,0,0,2,2010,100000,1212,2,0,2,0,95,1,NA,Brick/Tile/Stone,N,Regular,1.5Fin,5,4,11.512925465,0,
0905101100,6342,1.5Fin,5,8,1875,Gd,N,1020,2,0,0,5,2010,94000,780,1,0,1,0,135,2,NA,Cinder Block,N,Regular,1.5Fin,5,6,11.451050061,0,
0905105200,7800,1Story,5,7,1966,Ex,Y,892,3,0,416,6,2010,137900,864,2,0,2,0,44,3,Detached,Cinder Block,Y,Regular,1Story,5,6,11.834284064,0,
0905106140,9364,2Story,6,7,1969,TA,Y,1352,4,0,299,3,2010,158000,663,1,1,1.1,415,41,2,Attached,Cinder Block,Y,Regular,2Story,6,6,11.970350312,0,
0905107110,7424,SFoyer,5,5,1978,TA,Y,1373,3,2,591,5,2010,160250,1319,2,0,2,0,32,2,Attached,Cinder Block,N,Irregular,SFoyer,5,5,11.984490375,0,
0905453040,10420,1Story,6,5,2009,Ex,Y,1212,3,0,460,3,2010,186000,1212,2,0,2,122,1,2,Attached,Concrete/Slab,N,Regular,1Story,6,5,12.133501953,1,
0905475510,11200,1Story,5,3,1964,Ex,Y,1298,3,0,504,6,2010,114000,1250,2,0,2,144,46,3,Detached,Cinder Block,N,Irregular,1Story,5,4,11.643953727,0,
0906477110,8816,SLvl,6,7,1971,Gd,Y,1052,3,0,440,6,2010,155000,1010,2,0,2,0,39,3,Attached,Cinder Block,Y,Regular,SLvl,6,6,11.951180396,0,
0907125090,11105,SFoyer,5,5,1996,Gd,Y,965,2,0,580,7,2010,159000,870,2,0,2,71,14,3,Attached,Concrete/Slab,N,Regular,SFoyer,5,5,11.976659481,0,
0907290170,4435,1Story,6,5,2003,Ex,Y,848,1,0,420,4,2010,143750,848,2,0,2,140,7,2,Attached,Concrete/Slab,Y,Regular,1Story,6,5,11.875830959,0,
0907290240,4426,1Story,6,5,2004,Ex,Y,848,1,0,420,5,2010,143000,848,2,0,2,160,6,2,Attached,Concrete/Slab,Y,Regular,1Story,6,5,11.870599909,0,
0907410080,8400,1Story,7,5,2004,Ex,Y,1484,3,0,606,5,2010,213000,1473,3,0,3,179,6,2,Attached,Concrete/Slab,Y,Regular,1Story,6,5,12.269047445,1,
0908102060,8777,1Story,3,6,1945,TA,N,640,2,0,240,4,2010,84900,0,1,0,1,0,65,2,Detached,Cinder Block,N,Regular,1Story,4,6,11.349229372,0,
0909176150,7890,1Story,6,6,1939,TA,Y,856,2,1,399,3,2010,126000,856,2,0,2,166,71,2,Detached,Cinder Block,N,Regular,1Story,6,6,11.744037186,0,
0914475090,9620,SLvl,6,7,1977,TA,Y,1285,3,1,473,5,2010,190000,1243,2,1,2.1,401,33,2,Attached,Cinder Block,N,Regular,SLvl,6,6,12.154779351,1,
0923202105,10114,1Story,5,5,2004,Ex,Y,1430,3,0,624,3,2010,173500,1430,2,0,2,0,6,2,Attached,Concrete/Slab,N,Regular,1Story,5,5,12.063932878,0,
0923225390,2394,1Story,5,6,1973,Ex,Y,945,2,1,253,5,2010,119500,945,2,1,2.1,282,37,2,Attached,Cinder Block,N,Regular,1Story,5,6,11.69107165,0,
0923251080,26142,1Story,5,7,1962,TA,Y,1188,3,0,312,4,2010,157900,1188,1,0,1,300,48,2,Attached,Cinder Block,Y,Irregular,1Story,5,6,11.9697172,0,
0526351100,10200,1Story,6,5,1974,TA,Y,1434,4,1,528,6,2009,157000,1434,3,0,3,101,35,3,Attached,Cinder Block,Y,Regular,1Story,6,5,11.964001084,0,
0527110020,8530,SLvl,7,5,1995,Gd,Y,1474,3,1,400,5,2009,168500,384,2,1,2.1,192,14,2,Attached,Concrete/Slab,Y,Irregular,SLvl,6,5,12.034691029,0,
0527164090,8125,2Story,6,5,1994,Gd,Y,1481,3,1,343,3,2009,174000,702,2,1,2.1,36,15,2,Attached,Concrete/Slab,N,Regular,2Story,6,5,12.066810578,0,
0527375210,11050,1Story,7,5,1975,Fa,Y,1193,3,1,506,8,2009,158000,1176,2,0,2,40,34,3,Attached,Cinder Block,N,Irregular,1Story,6,5,11.970350312,0,
0527376100,10140,1Story,6,5,1974,TA,Y,1350,3,1,478,8,2009,165000,1064,2,0,2,0,35,3,Attached,Cinder Block,Y,Regular,1Story,6,5,12.013700753,0,
0527402220,8750,1Story,5,6,1970,TA,Y,1002,3,0,902,8,2009,148500,1002,2,0,2,0,39,3,Detached,Cinder Block,Y,Irregular,1Story,5,6,11.908340237,0,
0527403040,7930,1Story,6,8,1969,Gd,Y,1026,3,0,440,7,2009,156000,1026,2,0,2,219,40,3,Detached,Cinder Block,N,Regular,1Story,6,6,11.957611286,0,
0527405180,8120,1Story,4,7,1970,Ex,Y,864,3,0,463,7,2009,124500,864,1,0,1,0,39,3,Detached,Cinder Block,N,Regular,1Story,4,6,11.732060995,0,
0527451540,1680,2Story,6,6,1972,TA,Y,987,2,0,288,7,2009,97000,483,2,1,2.1,0,37,3,Detached,Cinder Block,Y,Regular,2Story,6,6,11.482466257,0,
0527455080,2364,2Story,6,5,1978,TA,Y,1456,3,1,440,4,2009,138000,855,2,1,2.1,147,31,2,Attached,Cinder Block,N,Regular,2Story,6,5,11.835008964,0,
0528175050,10307,1Story,7,5,2007,Ex,Y,1358,2,1,484,5,2009,212500,1350,3,0,3,218,2,2,Attached,Concrete/Slab,Y,Irregular,1Story,6,5,12.266697267,1,
0528221060,12589,2Story,6,5,2005,Ex,Y,1484,3,1,390,6,2009,174000,742,2,1,2.1,60,4,3,Attached,Concrete/Slab,N,Irregular,2Story,6,5,12.066810578,0,
0528253010,5063,1Story,7,5,2007,Ex,Y,1314,2,1,626,4,2009,207500,1314,3,0,3,234,2,2,Attached,Concrete/Slab,Y,Regular,1Story,6,5,12.242886619,1,
0528290030,9734,SLvl,7,5,2004,Ex,Y,1374,3,0,400,5,2009,167000,384,2,1,2.1,0,5,2,Attached,Concrete/Slab,N,Irregular,SLvl,6,5,12.025749091,0,
0528294050,7848,SLvl,7,6,1999,Ex,Y,1430,3,1,410,6,2009,168000,384,2,1,2.1,0,10,3,Attached,Concrete/Slab,N,Irregular,SLvl,6,6,12.031719258,0,
0528439060,9139,1Story,8,5,2006,Ex,Y,1432,3,1,492,9,2009,245000,1422,2,0,2,347,3,4,Attached,Concrete/Slab,Y,Irregular,1Story,6,5,12.40901349,1,
0531375090,13072,1Story,5,5,2004,Ex,Y,1114,3,0,0,8,2009,142000,1114,1,1,1.1,39,5,3,NA,Concrete/Slab,N,Regular,1Story,5,5,11.863582337,0,
0531375130,12450,1Story,5,5,2003,Ex,Y,1114,3,0,576,6,2009,153000,1114,3,0,3,42,6,3,Detached,Concrete/Slab,N,Regular,1Story,5,5,11.9381932,0,
0531385020,8529,1Story,7,5,2001,Ex,Y,1434,3,1,527,4,2009,189000,1454,2,0,2,329,8,2,Attached,Concrete/Slab,N,Irregular,1Story,6,5,12.149502294,1,
0531452070,7175,1Story,6,5,1990,Gd,Y,1332,2,0,542,2,2009,145000,1332,2,0,2,60,19,1,Attached,Concrete/Slab,N,Regular,1Story,6,5,11.884489021,0,
0534128100,12936,2Story,6,6,1972,TA,Y,1395,3,1,497,12,2009,162000,723,1,2,1.2,410,37,1,Attached,Cinder Block,N,Irregular,2Story,6,6,11.995351614,0,
0534252240,9790,1Story,6,5,1967,TA,Y,1342,3,1,457,9,2009,161500,1372,2,0,2,197,42,4,Attached,Cinder Block,N,Regular,1Story,6,5,11.992260422,0,
0534402140,11000,1Story,5,6,1966,Ex,Y,1154,3,1,480,11,2009,154000,1154,1,1,1.1,58,43,4,Attached,Cinder Block,Y,Irregular,1Story,5,6,11.944707881,0,
0534431130,9768,1Story,5,5,1955,Gd,Y,960,2,0,330,2,2009,122000,960,2,0,2,70,54,1,Attached,Cinder Block,N,Regular,1Story,5,5,11.711776324,0,
0534450150,5330,1Story,4,7,1940,Gd,Y,708,2,0,0,12,2009,82500,420,1,0,1,164,69,1,NA,Cinder Block,N,Regular,1Story,4,6,11.320553572,0,
0534451110,7015,1.5Fin,5,4,1950,TA,Y,1203,3,1,352,7,2009,110000,709,2,0,2,0,59,3,Detached,Cinder Block,Y,Irregular,1.5Fin,5,4,11.608235645,0,
0535105100,9500,1Story,6,5,1963,Gd,Y,1394,3,2,514,7,2009,159000,1394,2,1,2.1,261,46,3,Attached,Cinder Block,Y,Irregular,1Story,6,5,11.976659481,0,
0535175050,12400,1Story,6,7,1958,TA,Y,1215,3,0,297,6,2009,155000,1215,1,0,1,234,51,3,Attached,Cinder Block,Y,Irregular,1Story,6,6,11.951180396,0,
0535352090,8480,1Story,5,6,1945,TA,Y,793,2,0,240,8,2009,113000,793,2,0,2,0,64,3,Detached,Cinder Block,N,Regular,1Story,5,6,11.635143098,0,
0535353060,9533,1Story,5,5,1953,TA,Y,1210,2,0,616,8,2009,102900,0,1,1,1.1,208,56,3,Attached,Concrete/Slab,Y,Regular,1Story,5,5,11.541512922,0,
0535375010,5470,1Story,3,5,1958,Gd,Y,792,2,0,366,8,2009,99900,792,1,0,1,90,51,3,Attached,Cinder Block,N,Regular,1Story,4,5,11.511924965,0,
0535383060,5400,1Story,2,5,1940,Gd,N,599,2,0,0,6,2009,59000,416,2,0,2,81,69,3,NA,Concrete/Slab,N,Regular,1Story,4,5,10.985292723,0,
0535383110,10800,1Story,5,7,1920,TA,N,846,2,0,576,6,2009,106000,720,1,0,1,0,89,3,Detached,Brick/Tile/Stone,N,Regular,1Story,5,6,11.571194373,0,
0535402090,10143,1Story,6,7,1963,Fa,Y,1380,3,0,364,6,2009,154000,1380,1,1,1.1,216,46,3,Attached,Cinder Block,Y,Regular,1Story,6,6,11.944707881,0,
0535403190,8010,1Story,6,9,1958,Gd,Y,951,2,0,480,9,2009,143500,951,2,0,2,0,51,4,Detached,Cinder Block,N,Regular,1Story,6,6,11.874090314,0,
0535452090,7350,1Story,5,6,1958,Gd,Y,1041,3,0,294,3,2009,128000,1041,1,0,1,0,51,2,Attached,Cinder Block,N,Regular,1Story,5,6,11.759785543,0,
0535476110,8604,SFoyer,5,7,1978,Gd,Y,941,2,0,564,11,2009,145000,941,2,0,2,40,31,4,Attached,Cinder Block,Y,Irregular,SFoyer,5,6,11.884489021,0,
0902105060,9900,2Story,5,8,1910,Ex,Y,1464,3,0,0,3,2009,129000,504,2,0,2,0,99,2,NA,Cinder Block,N,Regular,2Story,5,6,11.767567683,0,
0902205010,5925,1Story,2,4,1940,Fa,N,612,1,0,308,10,2009,45000,0,1,0,1,0,69,4,Detached,Brick/Tile/Stone,N,Regular,1Story,4,4,10.714417769,0,
0902206260,5784,1Story,5,8,1938,Gd,Y,886,2,0,273,12,2009,91300,190,1,0,1,164,71,1,Attached,Brick/Tile/Stone,N,Regular,1Story,5,6,11.421906067,0,
0902207170,8520,1Story,5,8,1923,TA,Y,792,2,0,287,2,2009,99500,624,1,0,1,0,86,1,Detached,Concrete/Slab,N,Regular,1Story,5,6,11.507912923,0,
0902329080,3600,2Story,6,7,1917,Ex,Y,1288,3,1,280,5,2009,119000,624,2,0,2,103,92,2,Attached,Brick/Tile/Stone,N,Regular,2Story,6,6,11.686878772,0,
0903201020,6615,1Story,6,6,1923,TA,N,1432,3,1,216,9,2009,149000,1022,1,0,1,327,86,4,Attached,Brick/Tile/Stone,N,Regular,1Story,6,6,11.911701585,0,
0903205040,8854,1.5Unf,6,6,1916,Fa,N,952,2,1,192,5,2009,121000,952,1,0,1,138,93,2,Detached,Brick/Tile/Stone,N,Regular,1Story,6,6,11.703545825,0,
0903231060,6120,1Story,2,3,1936,Fa,N,800,1,1,0,1,2009,60000,264,1,0,1,0,73,1,NA,Brick/Tile/Stone,N,Regular,1Story,4,4,11.002099841,0,
0904351200,6629,2Story,6,6,1925,TA,N,1369,3,0,300,7,2009,103600,672,3,0,3,147,84,3,Detached,Brick/Tile/Stone,N,Regular,2Story,6,6,11.548292609,0,
0905107310,8014,SFoyer,6,5,1978,TA,Y,1034,3,1,504,6,2009,149900,456,1,1,1.1,0,31,3,Attached,Cinder Block,Y,Irregular,SFoyer,6,5,11.917723684,0,
0905451300,9571,1Story,5,5,1956,TA,Y,1073,2,0,340,2,2009,121500,1073,2,0,2,0,53,1,Attached,Cinder Block,N,Regular,1Story,5,5,11.707669542,0,
0905475160,7440,1Story,5,6,1954,TA,Y,1089,3,1,252,9,2009,125000,1089,2,0,2,328,55,4,Detached,Cinder Block,N,Regular,1Story,5,6,11.736069016,0,
0905475500,11500,1Story,4,3,1957,Ex,N,845,3,0,290,1,2009,84000,0,1,0,1,186,52,1,Detached,Concrete/Slab,N,Irregular,1Story,4,4,11.338572078,0,
0905480030,9060,1.5Fin,6,5,1939,TA,Y,1258,2,0,280,10,2009,105000,560,1,0,1,0,70,4,Detached,Brick/Tile/Stone,N,Regular,1.5Fin,6,5,11.561715629,0,
0907181100,9017,1Story,7,5,1999,Ex,Y,1431,3,0,666,9,2009,192000,1431,3,0,3,35,10,4,Attached,Concrete/Slab,N,Irregular,1Story,6,5,12.165250651,1,
0907194110,16285,1Story,7,5,2001,Ex,Y,1430,3,0,605,6,2009,187100,1413,2,0,2,33,8,3,Attached,Concrete/Slab,N,Irregular,1Story,6,5,12.139398512,1,
0907194160,10739,1Story,7,5,2002,Ex,Y,1444,3,0,577,4,2009,203000,1431,3,0,3,184,7,2,Attached,Concrete/Slab,Y,Irregular,1Story,6,5,12.220961258,1,
0907290180,4435,1Story,6,5,2003,Ex,Y,848,1,0,420,6,2009,144000,848,2,0,2,140,6,3,Attached,Concrete/Slab,Y,Regular,1Story,6,5,11.877568579,0,
0908102050,8777,1Story,4,5,1949,Ex,Y,1126,2,0,520,5,2009,108000,0,2,0,2,96,60,2,Detached,Cinder Block,N,Regular,1Story,4,5,11.589886506,0,
0908102270,9937,1Story,5,7,1964,Ex,Y,1486,3,0,480,3,2009,167000,1486,2,0,2,0,45,2,Detached,Concrete/Slab,N,Regular,1Story,5,6,12.025749091,0,
0908186080,3675,SFoyer,6,5,2005,Gd,Y,1072,2,0,525,4,2009,145500,547,2,0,2,28,4,2,Attached,Concrete/Slab,Y,Regular,SFoyer,6,5,11.887931366,0,
0908250030,10206,1Story,3,3,1952,Fa,N,944,2,0,528,7,2009,82000,0,1,0,1,0,57,3,Detached,Concrete/Slab,N,Regular,1Story,4,4,11.314474526,0,
0909101010,12354,1.5Fin,6,8,1920,Gd,Y,1196,3,0,528,8,2009,110000,684,1,0,1,46,89,3,Detached,Brick/Tile/Stone,N,Regular,1.5Fin,6,6,11.608235645,0,
0909101100,8212,1.5Fin,5,6,1941,Ex,Y,1298,3,2,256,9,2009,122000,720,1,0,1,84,68,4,Detached,Cinder Block,N,Regular,1.5Fin,5,6,11.711776324,0,
0909175080,8400,1Story,2,5,1920,TA,N,438,1,0,246,1,2009,60000,290,1,0,1,0,89,1,Detached,Cinder Block,N,Regular,1Story,4,5,11.002099841,0,
0909251050,8574,1Story,6,8,1916,Ex,Y,1232,3,1,440,10,2009,147500,816,1,0,1,0,93,4,Detached,Brick/Tile/Stone,N,Regular,1Story,6,6,11.901583455,0,
0909254010,7155,2Story,7,8,1918,Ex,Y,1228,3,1,215,5,2009,137000,600,1,0,1,308,91,2,Detached,Brick/Tile/Stone,N,Regular,2Story,6,6,11.827736205,0,
0909451040,1733,2Story,6,6,1980,TA,Y,1032,2,1,452,5,2009,115000,516,1,0,1,279,29,2,Detached,Cinder Block,N,Regular,2Story,6,6,11.652687407,0,
0916386140,8925,1Story,8,5,2007,Ex,Y,1466,3,0,610,7,2009,201000,1466,2,0,2,118,2,3,Attached,Concrete/Slab,N,Irregular,1Story,6,5,12.211060187,1,
0916403250,14419,SLvl,7,5,1987,Ex,Y,1479,3,1,578,7,2009,213500,1645,4,1,4.1,462,22,3,Attached,Concrete/Slab,Y,Irregular,SLvl,6,5,12.271392112,1,
0916455070,6853,1Story,8,5,2001,Ex,Y,1296,2,0,471,6,2009,220000,1267,3,0,3,217,8,3,Attached,Concrete/Slab,Y,Irregular,1Story,6,5,12.301382825,1,
0923203190,4500,1Story,6,5,1999,Ex,Y,1224,2,0,402,6,2009,165000,1224,3,0,3,304,10,3,Attached,Concrete/Slab,Y,Regular,1Story,6,5,12.013700753,0,
0923225490,9858,1Story,5,6,1968,TA,Y,874,3,0,288,11,2009,130000,864,2,0,2,33,41,4,Attached,Cinder Block,N,Regular,1Story,5,6,11.775289729,0,
0923227080,13383,1Story,5,5,1969,Ex,Y,1404,3,1,504,3,2009,160000,1188,2,0,2,16,40,2,Attached,Cinder Block,Y,Irregular,1Story,5,5,11.982929094,0,
0923228150,1533,2Story,4,6,1970,TA,Y,1344,3,1,0,5,2009,97000,546,1,1,1.1,0,39,2,NA,Cinder Block,N,Regular,2Story,4,6,11.482466257,0,
0923275140,8780,1Story,5,5,1985,Ex,Y,833,3,0,0,3,2009,112000,833,2,0,2,0,24,2,NA,Cinder Block,N,Irregular,1Story,5,5,11.62625415,0,
0527140090,5395,1Story,8,5,1993,Gd,Y,1337,2,1,462,10,2008,180000,1337,3,0,3,264,15,4,Attached,Concrete/Slab,N,Irregular,1Story,6,5,12.10071213,1,
0527302070,10825,1Story,7,7,1983,TA,Y,1260,3,0,598,7,2008,181900,1260,3,0,3,152,25,3,Attached,Cinder Block,Y,Irregular,1Story,6,6,12.111212365,1,
0527425035,12735,1Story,4,5,1972,TA,Y,864,3,0,576,4,2008,111250,864,1,0,1,216,36,2,Detached,Cinder Block,N,Irregular,1Story,4,5,11.6195352,0,
0527451400,1680,2Story,6,3,1971,TA,Y,987,2,0,264,8,2008,89500,483,1,1,1.1,0,37,3,Detached,Cinder Block,Y,Regular,2Story,6,4,11.401993904,0,
0528190010,8198,1Story,7,5,2004,Ex,Y,1358,2,1,484,7,2008,207000,1358,3,0,3,222,4,3,Attached,Concrete/Slab,Y,Regular,1Story,6,5,12.240474072,1,
0528240040,8029,2Story,6,5,2005,Ex,Y,1456,3,0,400,7,2008,176000,728,2,1,2.1,124,3,3,Attached,Concrete/Slab,N,Irregular,2Story,6,5,12.078239274,1,
0531363060,7500,1Story,7,5,2004,Ex,Y,1080,3,0,0,4,2008,141000,1080,2,0,2,0,4,2,NA,Concrete/Slab,Y,Regular,1Story,6,5,11.856515169,0,
0531375050,13072,1Story,6,5,2005,Ex,Y,1175,3,0,0,6,2008,146000,1175,2,0,2,90,3,3,NA,Concrete/Slab,Y,Regular,1Story,6,5,11.891361901,0,
0532477030,19508,1Story,6,5,1974,TA,Y,1430,3,2,484,7,2008,192000,1430,2,1,2.1,225,34,3,Attached,Cinder Block,Y,Regular,1Story,6,5,12.165250651,1,
0533206050,4282,1Story,7,5,2004,Ex,Y,1391,2,0,530,7,2008,196000,1391,2,0,2,314,4,3,Attached,Concrete/Slab,N,Irregular,1Story,6,5,12.185869938,1,
0533208080,4017,2Story,7,5,2006,Ex,Y,1250,2,0,625,3,2008,171900,625,2,1,2.1,54,2,2,Detached,Concrete/Slab,N,Irregular,2Story,6,5,12.054668191,0,
0533215040,4385,1Story,9,5,2001,Ex,Y,1419,2,1,588,9,2008,290000,1419,2,1,2.1,213,7,4,Attached,Concrete/Slab,N,Irregular,1Story,6,5,12.577636202,1,
0533217050,2160,2Story,7,5,1999,Ex,Y,1252,2,0,462,3,2008,160000,600,3,1,3.1,48,9,2,Detached,Concrete/Slab,Y,Regular,2Story,6,5,11.982929094,0,
0534204030,8125,1Story,5,7,1965,Ex,Y,925,3,0,576,7,2008,135000,912,2,0,2,233,43,3,Detached,Cinder Block,N,Regular,1Story,5,6,11.813030057,0,
0534252090,12122,SFoyer,7,9,1961,Gd,Y,999,3,0,588,7,2008,178400,944,2,0,2,220,47,3,Attached,Cinder Block,Y,Irregular,SFoyer,6,6,12.091783499,1,
0534426040,10007,1Story,5,7,1959,Ex,Y,1053,3,0,312,8,2008,145500,1053,2,1,2.1,0,49,3,Attached,Cinder Block,Y,Irregular,1Story,5,6,11.887931366,0,
0534428020,12493,1Story,4,5,1960,TA,Y,1100,3,1,312,4,2008,141000,1100,2,0,2,355,48,2,Attached,Concrete/Slab,N,Irregular,1Story,4,5,11.856515169,0,
0534451080,6627,1Story,3,6,1949,TA,N,720,2,0,287,7,2008,72500,0,1,0,1,0,59,3,Detached,Cinder Block,N,Irregular,1Story,4,6,11.191341841,0,
0534451170,4130,1Story,3,6,1935,Gd,Y,729,2,0,0,7,2008,52000,270,1,0,1,0,73,3,NA,Cinder Block,N,Irregular,1Story,4,6,10.858998998,0,
0534453140,4882,2Story,4,7,1937,TA,Y,906,2,0,231,9,2008,87000,348,1,0,1,0,71,4,Attached,Concrete/Slab,N,Irregular,2Story,4,6,11.373663398,0,
0535105090,9150,SLvl,6,5,1962,Gd,Y,1431,3,1,296,12,2008,165000,1099,1,1,1.1,174,46,1,Attached,Cinder Block,Y,Irregular,SLvl,6,5,12.013700753,0,
0535150280,9204,1Story,5,5,1963,TA,Y,1144,3,0,336,8,2008,124000,1144,2,1,2.1,88,45,3,Detached,Cinder Block,N,Regular,1Story,5,5,11.728036845,0,
0535151160,7763,1Story,5,7,1962,TA,Y,1283,3,0,506,10,2008,140000,931,2,0,2,0,46,4,Detached,Cinder Block,N,Regular,1Story,5,6,11.849397702,0,
0535153140,9840,1Story,5,7,1959,TA,Y,1440,2,0,480,6,2008,185000,1248,3,0,3,406,49,3,Attached,Cinder Block,N,Regular,1Story,5,6,12.128111104,1,
0535302140,12774,1Story,5,5,1953,TA,N,950,2,0,400,7,2008,130000,984,1,0,1,32,55,3,Detached,Concrete/Slab,N,Regular,1Story,5,5,11.775289729,0,
0535375140,10122,1Story,4,6,1948,TA,N,869,1,0,390,8,2008,89900,0,1,0,1,0,60,3,Detached,Concrete/Slab,N,Regular,1Story,4,6,11.40645322,0,
0535426350,12929,1Story,6,6,1960,TA,Y,1081,3,0,401,6,2008,148000,1081,2,0,2,118,48,3,,Cinder Block,Y,Irregular,1Story,6,6,11.904967553,0,
0535453040,8000,1Story,5,5,1962,TA,Y,1027,3,0,299,11,2008,125900,1027,1,1,1.1,0,46,4,Attached,Cinder Block,N,Regular,1Story,5,5,11.74324322,0,
0535453210,7931,1Story,5,6,1960,TA,Y,1269,3,1,308,6,2008,155000,1269,1,1,1.1,0,48,3,Detached,Cinder Block,N,Regular,1Story,5,6,11.951180396,0,
0535455090,7200,1.5Fin,6,5,1954,Fa,Y,1278,4,0,240,4,2008,127500,854,1,0,1,0,54,2,Attached,Cinder Block,N,Regular,1.5Fin,6,5,11.755871644,0,
0902328040,6300,2.5Unf,6,6,1914,Ex,Y,1484,3,1,0,6,2008,128000,742,2,0,2,291,94,3,NA,Cinder Block,N,Regular,2Story,6,6,11.759785543,0,
0903232030,6120,1Story,5,6,1945,Gd,N,808,1,0,164,6,2008,81300,0,1,0,1,48,63,3,Attached,Cinder Block,N,Regular,1Story,5,6,11.305901296,0,
0903235010,6155,2Story,6,8,1920,Ex,Y,1362,3,0,502,6,2008,128000,611,2,0,2,0,88,3,Detached,Brick/Tile/Stone,N,Irregular,2Story,6,6,11.759785543,0,
